visitors_per_day,pageviews_per_day,traffic_growth_rate,peak_hours_start,peak_hours_end,cpu_usage_avg,cpu_usage_peak,ram_usage_avg,ram_usage_max,disk_usage_avg,disk_usage_max,response_time,disk_read_iops,disk_write_iops,plugin_count,heavy_plugins,heavy_plugin_woocommerce,heavy_plugin_elementor,heavy_plugin_wpml,heavy_plugin_yoast,heavy_plugin_revslider,heavy_plugin_gravityforms,php_version,cache_enabled,cdn_enabled,wp_type,recommended_capacity_score
13433,45596,33.3,12:15,23:00,30.36,51.66,43.49,63.25,47.76,69.04,192.9,183.89,113.36,33,yoast,0,0,0,1,0,0,8.2,oui,oui,small,26.7076
116105,516334,73.78,12:45,17:45,55.16,68.86,56.42,76.43,68.24,88.88,465.4,1857.57,278.57,12,,0,0,0,0,0,0,8.0,oui,non,medium,61.1531
98203,191127,49.1,06:45,23:45,56.7,87.55,65.3,93.18,81.7,87.83,498.42,730.12,271.18,33,,0,0,0,0,0,0,8.2,oui,non,performance,62.1148
65860,262992,64.6,12:15,19:15,58.53,74.68,81.24,100.0,48.9,70.35,483.77,979.08,242.19,78,"woocommerce,elementor,revslider",1,1,0,0,1,0,8.2,oui,non,medium,65.6733
64981,223994,33.21,08:45,16:00,34.82,62.31,54.82,68.27,62.32,79.89,278.96,837.24,222.53,62,elementor,0,1,0,0,0,0,8.0,oui,oui,medium,51.2231
128797,484775,21.39,12:15,15:15,71.96,99.2,67.5,79.07,52.5,59.03,691.08,1740.18,255.44,8,"woocommerce,yoast",1,0,0,1,0,0,8.2,non,non,performance,66.1475
12937,28159,60.88,06:45,22:45,38.62,69.9,57.8,75.34,96.0,100.0,327.71,138.56,128.5,60,"woocommerce,elementor,revslider",1,1,0,0,1,0,8.2,oui,non,medium,46.7893
104621,605857,39.7,07:30,18:00,62.52,82.68,80.2,99.61,61.58,73.9,597.9,2179.17,324.67,68,"woocommerce,yoast,gravityforms",1,0,0,1,0,1,8.3,oui,non,performance,71.9167
30260,49137,53.25,07:45,17:00,59.09,80.77,75.75,95.03,61.26,67.56,469.28,186.92,147.47,60,"elementor,revslider",0,1,0,0,1,0,8.1,non,oui,performance,58.0937
14171,75678,55.83,06:00,23:00,27.65,38.91,33.92,61.77,58.75,68.44,228.33,293.94,68.71,13,,0,0,0,0,0,0,7.4,oui,oui,medium,30.9701
78996,490079,4.28,11:00,20:15,41.38,65.36,63.63,73.37,28.17,48.91,278.89,1733.71,314.66,71,yoast,0,0,0,1,0,0,8.3,oui,non,medium,50.4111
146345,258091,48.98,09:00,19:15,83.51,100.0,90.71,99.57,28.5,42.24,713.42,957.01,405.46,48,wpml,0,0,1,0,0,0,8.1,non,non,medium,75.2505
110376,386153,70.87,07:15,16:45,45.94,63.51,62.79,78.52,50.13,72.28,416.92,1404.49,300.7,58,"wpml,yoast",0,0,1,1,0,0,8.1,oui,oui,medium,63.8195
114183,491013,51.26,07:00,20:30,61.58,85.44,76.56,87.4,23.66,46.26,416.43,1773.09,328.05,53,"woocommerce,yoast,gravityforms",1,0,0,1,0,1,8.2,oui,non,small,63.173
107636,694690,40.67,09:30,18:15,57.94,71.86,65.65,90.07,53.52,58.5,582.71,2517.71,299.96,42,revslider,0,0,0,0,1,0,8.2,non,non,medium,62.8764
