visitors_per_day,pageviews_per_day,traffic_growth_rate,peak_hours_start,peak_hours_end,cpu_usage_avg,cpu_usage_peak,ram_usage_avg,ram_usage_max,disk_usage_avg,disk_usage_max,response_time,disk_read_iops,disk_write_iops,plugin_count,heavy_plugins,heavy_plugin_woocommerce,heavy_plugin_elementor,heavy_plugin_wpml,heavy_plugin_jetpack,heavy_plugin_buddypress,heavy_plugin_yoast,heavy_plugin_wordfence,php_version,cache_enabled,cdn_enabled,wp_type,recommended_capacity_score
13433,45596,33.3,12:45,15:30,5.0,15.44,32.07,94.09,42.57,62.68,338.96,249.65,244.68,33,jetpack,0,0,0,1,0,0,0,8.0,oui,oui,medium,30.3822
116105,516334,73.78,07:30,23:15,47.99,98.29,64.23,82.32,38.79,49.68,2737.02,1654.96,1595.68,12,elementor,0,1,0,0,0,0,0,8.0,non,oui,small,98.6008
98203,191127,49.1,06:30,16:45,55.35,72.33,75.87,88.81,11.09,23.36,2301.46,690.64,1376.68,33,yoast,0,0,0,0,0,1,0,8.2,non,non,medium,100.0
65860,262992,64.6,12:30,22:30,23.35,36.83,78.38,98.46,81.66,100.0,1537.37,928.16,1105.64,78,elementor,0,1,0,0,0,0,0,8.2,non,non,performance,100.0
64981,223994,33.21,06:15,20:15,42.46,75.8,57.85,100.0,60.83,68.38,1532.4,792.23,1047.1,62,elementor,0,1,0,0,0,0,0,8.2,oui,non,small,42.2446
128797,484775,21.39,12:00,21:45,52.82,69.65,76.58,100.0,54.62,57.16,3146.15,1489.15,1745.78,8,"woocommerce,elementor,wpml,yoast",1,1,1,0,0,1,0,8.3,non,non,medium,100.0
12937,28159,60.88,11:30,23:45,8.66,27.35,50.44,63.28,31.57,44.54,336.51,149.6,367.29,60,"woocommerce,jetpack,yoast",1,0,0,1,0,1,0,8.2,non,non,small,100.0
104621,605857,39.7,11:00,23:15,43.98,60.18,86.41,95.27,39.36,50.41,2508.74,1849.26,1548.53,68,"woocommerce,elementor,jetpack",1,1,0,1,0,0,0,8.1,oui,non,medium,86.6826
30260,49137,53.25,08:15,23:45,14.12,24.22,60.46,71.92,62.17,76.47,772.52,215.88,568.09,60,wordfence,0,0,0,0,0,0,1,8.2,oui,non,performance,61.6567
14171,75678,55.83,07:00,16:00,26.1,37.72,26.17,36.46,73.15,99.22,358.99,356.65,274.35,13,"woocommerce,elementor,yoast",1,1,0,0,0,1,0,8.2,oui,oui,small,36.4868
78996,490079,4.28,10:15,23:30,43.15,55.8,78.17,100.0,96.0,100.0,1919.42,1548.21,1253.39,71,buddypress,0,0,0,0,1,0,0,8.2,non,non,medium,100.0
146345,258091,48.98,07:00,21:30,77.38,100.0,97.0,100.0,47.06,55.92,3559.17,962.19,2108.77,48,"woocommerce,elementor,jetpack,wordfence",1,1,0,1,0,0,1,8.3,non,oui,medium,86.5564
110376,386153,70.87,11:00,17:15,64.91,89.87,79.3,92.32,69.21,74.61,2726.43,1237.72,1613.1,58,buddypress,0,0,0,0,1,0,0,8.0,oui,oui,performance,63.0313
114183,491013,51.26,07:15,21:45,74.26,100.0,82.43,93.45,34.57,42.01,2744.47,1550.83,1649.62,53,"buddypress,wordfence",0,0,0,0,1,0,1,8.0,oui,oui,small,56.4369
107636,694690,40.67,11:00,15:00,60.52,71.89,72.66,100.0,68.87,81.64,2576.17,2042.25,1566.53,42,"woocommerce,elementor,buddypress,wordfence",1,1,0,0,1,0,1,8.3,non,non,small,100.0
117921,682353,70.29,06:30,15:00,70.83,82.1,62.65,81.77,29.6,31.99,2771.99,1984.25,1595.09,12,wpml,0,0,1,0,0,0,0,8.2,non,non,medium,100.0
77008,261473,43.99,09:30,17:30,55.99,66.41,67.88,100.0,53.8,54.71,1833.18,925.71,1191.12,53,"wpml,jetpack,wordfence",0,0,1,1,0,0,1,8.2,non,oui,performance,98.1903
19260,121915,28.91,08:45,21:15,13.06,25.44,21.84,49.58,47.11,47.48,374.18,548.58,262.14,5,"buddypress,wordfence",0,0,0,0,1,0,1,7.4,oui,oui,small,49.6048
125971,372333,13.56,11:00,17:15,82.13,96.85,97.0,100.0,50.26,51.82,2896.73,1236.74,1841.62,76,,0,0,0,0,0,0,0,7.4,oui,oui,small,58.601
67585,202887,26.46,12:15,18:15,39.51,67.97,62.95,86.72,37.14,40.11,1744.88,702.09,1046.35,53,"elementor,buddypress",0,1,0,0,1,0,0,8.2,oui,oui,medium,45.9943
75078,291540,28.5,10:30,16:15,41.86,71.94,68.01,85.67,33.68,46.82,1843.02,1051.14,1124.5,50,elementor,0,1,0,0,0,0,0,8.2,oui,oui,medium,58.6619
55651,296717,33.81,07:15,15:15,31.93,79.86,55.42,67.71,49.96,51.59,1218.82,1006.29,907.34,63,jetpack,0,0,0,1,0,0,0,8.3,oui,oui,medium,38.5992
27423,60837,25.26,08:45,16:00,14.87,40.87,32.8,95.92,78.29,100.0,521.44,326.36,425.13,24,,0,0,0,0,0,0,0,8.0,non,non,small,60.9711
139019,713872,62.14,06:15,18:30,65.36,81.7,83.81,100.0,54.48,63.78,3301.2,2088.73,1968.23,44,"elementor,jetpack",0,1,0,1,0,0,0,7.4,non,oui,small,100.0
117246,142373,19.02,06:45,17:45,56.49,73.68,73.01,83.48,54.45,66.3,2853.18,588.92,1675.54,35,"wpml,jetpack,wordfence",0,0,1,1,0,0,1,8.2,oui,oui,medium,52.216
96598,250299,61.36,06:00,19:45,48.07,63.28,90.92,100.0,50.96,53.41,2213.49,919.56,1512.52,76,elementor,0,1,0,0,0,0,0,7.4,non,non,medium,100.0
60392,384376,18.03,08:45,16:30,24.1,46.06,65.79,92.47,74.78,99.7,1500.44,1296.91,966.57,52,"woocommerce,elementor,wordfence",1,1,0,0,0,0,1,8.0,oui,oui,performance,61.0061
123423,577529,81.87,10:00,18:00,67.2,90.24,86.63,100.0,78.62,84.28,2868.45,1716.54,1739.47,34,,0,0,0,0,0,0,0,8.1,oui,non,small,92.5615
81837,298833,44.31,10:30,18:45,37.14,48.73,53.45,66.99,51.65,59.07,1973.01,1037.4,1262.67,64,elementor,0,1,0,0,0,0,0,8.1,oui,non,medium,62.6853
66540,337913,34.16,08:45,18:30,43.19,59.91,49.86,100.0,38.33,38.43,1518.81,1149.97,964.11,21,,0,0,0,0,0,0,0,7.4,oui,oui,small,60.8216
67596,237049,34.04,08:30,22:15,31.14,46.5,65.27,86.17,57.5,58.27,1480.87,891.12,1007.29,54,elementor,0,1,0,0,0,0,0,8.2,oui,oui,small,53.6646
34124,60244,46.01,09:00,22:00,29.68,42.04,47.89,70.94,44.91,60.05,632.57,324.68,544.0,43,wpml,0,0,1,0,0,0,0,8.0,non,non,medium,100.0
13865,53201,59.9,10:15,18:00,11.73,29.13,35.79,59.87,43.2,43.5,414.32,287.68,221.06,13,"woocommerce,elementor,wordfence",1,1,0,0,0,0,1,8.2,oui,non,small,45.2609
83210,521196,22.2,12:30,20:30,44.31,55.18,64.34,92.5,42.31,44.3,1904.93,1635.78,1207.47,45,"jetpack,wordfence",0,0,0,1,0,0,1,8.3,non,non,small,100.0
133189,352256,63.58,12:15,16:15,70.11,90.36,97.0,100.0,49.95,58.03,3293.32,1198.34,1909.39,42,"woocommerce,jetpack",1,0,0,1,0,0,0,8.2,oui,oui,medium,53.6019
9619,14238,23.51,07:15,21:30,26.14,53.77,67.18,77.32,37.57,46.19,231.12,94.44,301.8,74,"jetpack,buddypress",0,0,0,1,1,0,0,8.1,oui,non,medium,64.6459
128751,660381,60.28,07:00,18:00,62.6,76.45,90.21,100.0,46.42,97.93,3098.54,1963.62,1946.73,77,"woocommerce,elementor",1,1,0,0,0,0,0,8.2,oui,oui,performance,75.4663
124154,447990,4.45,07:15,23:45,52.43,70.82,78.72,96.01,59.69,66.61,3007.18,1438.02,1720.35,15,woocommerce,1,0,0,0,0,0,0,8.3,oui,oui,small,24.209
41550,123567,42.29,06:00,16:00,34.05,46.2,37.4,48.11,41.81,44.47,1061.36,530.74,566.81,10,"woocommerce,wordfence",1,0,0,0,0,0,1,8.0,oui,oui,medium,33.0272
94768,358598,18.11,06:45,23:30,58.8,69.11,75.86,94.45,39.94,51.56,2358.8,1210.32,1419.93,57,"elementor,yoast",0,1,0,0,0,1,0,8.2,oui,oui,small,51.68
24826,152158,66.68,10:45,21:15,25.63,41.76,57.61,73.74,62.94,64.79,536.14,598.46,449.1,45,jetpack,0,0,0,1,0,0,0,8.2,oui,oui,small,38.2714
113726,287308,4.31,09:45,21:45,62.58,81.83,67.15,79.79,39.54,49.08,2850.59,1020.15,1618.5,37,"jetpack,yoast,wordfence",0,0,0,1,0,1,1,8.2,non,non,small,99.6742
105094,237802,40.56,11:15,21:30,61.65,73.53,83.07,100.0,55.97,59.68,2651.59,901.05,1554.3,62,"elementor,buddypress,wordfence",0,1,0,0,1,0,1,8.0,oui,oui,medium,53.3606
